Model,Parameters,RMSLE
Linear Regression,Default,1.0161427327807622
MLP Regressor (PyTorch),"{'hidden_layer_sizes': (50, 50), 'activation': 'tanh', 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 500}",0.29562536550100044
